item_id,name,producer,country,region,vintage,kind,price_brl,price_usd
47,Domaine Matrot Meursault 1er Cru Blagny,Domaine Matrot,France,Burgundy,2017,white,899.4,155.61
48,Domaine Matrot Meursault 1er Cru Blagny,Domaine Matrot,France,Burgundy,2018,white,899.4,155.61
49,Domaine Matrot Meursault 1er Cru Charmes,Domaine Matrot,France,Burgundy,2017,white,996.0,172.32
50,Domaine Matrot Meursault 1er Cru Charmes,Domaine Matrot,France,Burgundy,2018,white,996.0,172.32
51,Domaine Matrot Meursault 1er Cru Perrieres,Domaine Matrot,France,Burgundy,2018,white,1392.0,240.83
52,Domaine Matrot Maranges Vieilles Vignes,Domaine Matrot,France,Burgundy,2018,red,299.4,51.8
53,Domaine Matrot Maranges 1er Cru La Fussiere,Domaine Matrot,France,Burgundy,2018,red,409.2,70.8
54,Domaine Matrot Blagny 1er Cru La Piece Sous Le Bois,Domaine Matrot,France,Burgundy,2018,red,798.0,138.06
55,Domaine Antoine Jobard Meursault,Antoine Jobard,France,Burgundy,2017,white,799.2,138.27
56,Domaine Antoine Jobard Meursault,Antoine Jobard,France,Burgundy,2018,white,799.2,138.27
57,Domaine Antoine Jobard Meursault 1er Cru Blagny,Antoine Jobard,France,Burgundy,2017,white,1299.0,224.74
58,Domaine Tessier Bourgogne Les Herbeux,Domaine Tessier,France,Burgundy,2018,white,299.4,51.8
59,Domaine Tessier Bourgogne Les Herbeux,Domaine Tessier,France,Burgundy,2018,white,299.4,51.8
60,Domaine Tessier Mersault,Domaine Tessier,France,Burgundy,2018,white,619.2,107.13
61,Domaine Tessier Meursault Les Casse-Têtes,Domaine Tessier,France,Burgundy,2018,white,719.4,124.46
62,Domaine Tessier Meursault 1er Cru Les Charmes Dessus,Domaine Tessier,France,Burgundy,2018,white,1029.6,178.13
63,Domaine Pascal Prunier-Bonheur Auxey-Duresses Les Crais,Domaine Pascal Prunier-Bonheur,France,Burgundy,2017,white,349.2,60.42
64,Domaine Pascal Prunier-Bonheur Monthelie Les Toisieres,Domaine Pascal Prunier-Bonheur,France,Burgundy,2018,white,449.4,77.75
65,Domaine Pascal Prunier-Bonheur Bourgogne Rouge,Domaine Pascal Prunier-Bonheur,France,Burgundy,2018,red,219.6,37.99
66,Domaine Pascal Prunier-Bonheur Auxey-Duresses,Domaine Pascal Prunier-Bonheur,France,Burgundy,2018,red,339.6,58.75
67,Domaine Pascal Prunier-Bonheur Monthelie,Domaine Pascal Prunier-Bonheur,France,Burgundy,2017,red,339.6,58.75
68,Domaine Pascal Prunier-Bonheur Auxey-Duresses 1er Cru Climat du Val,Domaine Pascal Prunier-Bonheur,France,Burgundy,2018,red,425.4,73.6
69,Domaine Pascal Prunier-Bonheur Monthelie 1er Cru Les Vignes Rondes,Domaine Pascal Prunier-Bonheur,France,Burgundy,2018,red,449.4,77.75
70,Fourrier Jean-Marie Latricieres-Chambertin Grand Cru Vieille Vigne,Domaine Fourrier,France,Burgundy,2018,red,3390.0,586.51
71,Domaine Denis Mortet Grevrey-Chambertin Mes Cinq Terroirs,Domaine Denis Mortet,France,Burgundy,2018,red,945.0,163.49
72,Domaine Denis Mortet Grevrey-Chambertin 1er Cru Lavaux Saint-Jacques,Domaine Denis Mortet,France,Burgundy,2018,red,2796.0,483.74
73,Duroche Pierre & Mariannne Vosne-Romanée,Domaine Duroché,France,Burgundy,2018,red,999.0,172.84
